src_ip,dst_ip,src_port,dst_port,protocol,flag,packet_count,byte_count,duration_ms,packets_per_sec,avg_packet_size,label
192.168.3.158,10.0.4.128,35083,443,TCP,SYN,37276,1609171,4812,7746.4672,43.1691,DoS
192.168.5.251,10.0.1.1,8770,25,TCP,FIN,12,48830,1798,6.6741,4069.1667,Benign
192.168.10.107,10.0.3.12,22899,25,UDP,RST,18,1240,1748,10.2975,68.8889,Benign
192.168.5.66,10.0.0.79,20703,8080,ICMP,RST,5,7960,2830,1.7668,1592.0,Benign
192.168.6.102,10.0.5.146,41393,398,TCP,SYN,438,6536,2462,177.9041,14.9224,PortScan
192.168.8.205,10.0.0.166,9920,944,UDP,SYN,985,9797,1872,526.1752,9.9462,PortScan
192.168.8.201,10.0.3.238,49690,443,TCP,RST,82,12338,334,245.509,150.4634,SQLInjection
192.168.9.5,10.0.1.148,45948,80,UDP,SYN-ACK,14,18880,355,39.4366,1348.5714,Benign
192.168.6.252,10.0.3.161,36038,53,TCP,RST,29,12780,4975,5.8291,440.6897,Benign
192.168.2.222,10.0.2.181,57242,80,UDP,PSH-ACK,22,27623,811,27.127,1255.5909,Benign
192.168.8.225,10.0.1.96,30640,53,UDP,ACK,24,11969,1019,23.5525,498.7083,Benign
192.168.6.201,10.0.0.200,14268,80,TCP,SYN,36631,4294759,3524,10394.7219,117.2438,DoS
192.168.4.88,10.0.3.188,58294,8080,ICMP,SYN-ACK,14,6939,4328,3.2348,495.6429,Benign
192.168.3.53,10.0.5.10,31129,53,UDP,PSH-ACK,12,769,2647,4.5334,64.0833,Benign
192.168.1.176,10.0.4.224,6730,80,TCP,SYN,11756,4466922,6119,1921.229,379.9695,DoS
192.168.1.148,10.0.2.164,59490,80,TCP,SYN,17618,2503901,5532,3184.7433,142.1218,DoS
192.168.9.82,10.0.3.172,8734,443,UDP,ACK,22,8001,224,98.2143,363.6818,Benign
192.168.10.144,10.0.4.27,14562,443,TCP,SYN,22763,1287464,5641,4035.2774,56.5595,DoS
192.168.10.63,10.0.1.19,21430,3389,ICMP,SYN-ACK,1108,23297,6262,176.9403,21.0262,BruteForce
192.168.1.121,10.0.5.13,7966,80,UDP,SYN,32,26184,1566,20.4342,818.25,Benign
192.168.10.229,10.0.4.162,55823,21,ICMP,PSH-ACK,1462,103224,12238,119.464,70.6047,BruteForce
192.168.6.210,10.0.1.183,50726,161,ICMP,SYN,873,8629,2825,309.0265,9.8843,PortScan
192.168.3.24,10.0.5.120,7398,25,UDP,SYN-ACK,46,47044,3912,11.7587,1022.6957,Benign
192.168.8.60,10.0.1.37,57456,8080,ICMP,SYN-ACK,30,12516,2806,10.6914,417.2,Benign
192.168.6.117,10.0.3.8,5307,7323,UDP,SYN,142,65455,21193,6.7003,460.9507,Backdoor
192.168.5.197,10.0.2.155,38686,80,TCP,RST,30,47310,976,30.7377,1577.0,Benign
192.168.6.143,10.0.5.19,52956,22,UDP,RST,30,39201,3486,8.6059,1306.7,Benign
192.168.4.159,10.0.1.141,11445,80,UDP,FIN,26,14147,4941,5.2621,544.1154,Benign
192.168.7.201,10.0.3.146,52622,3389,UDP,RST,683,55373,23712,28.804,81.0732,BruteForce
192.168.2.190,10.0.5.147,55861,443,TCP,SYN,26323,4756413,2599,10128.1262,180.6942,DoS
192.168.8.46,10.0.2.245,27618,22,TCP,RST,1603,166344,27275,58.7718,103.7704,BruteForce
192.168.7.84,10.0.3.166,44288,446,TCP,SYN,936,3276,2878,325.2259,3.5,PortScan
192.168.1.194,10.0.1.170,10803,443,TCP,SYN,30557,4948040,8326,3670.0697,161.9282,DoS
192.168.4.53,10.0.5.225,21772,6938,UDP,RST,131,99082,32561,4.0232,756.3511,Backdoor
192.168.2.150,10.0.0.157,34475,8080,UDP,ACK,8,24697,4596,1.7406,3087.125,Benign
192.168.1.1,10.0.5.144,54812,443,TCP,SYN,7043,2073345,8073,872.4142,294.3838,DoS
192.168.10.101,10.0.5.82,47670,21,UDP,FIN,1091,152899,8921,122.2957,140.1457,BruteForce
192.168.3.122,10.0.1.49,37424,443,TCP,SYN,15110,2519869,3056,4944.3717,166.7683,DoS
192.168.3.3,10.0.0.166,2053,21,TCP,PSH-ACK,1547,124487,6449,239.8822,80.4699,BruteForce
192.168.2.36,10.0.5.207,28277,443,TCP,SYN,45845,1608249,8444,5429.2989,35.0801,DoS
192.168.9.109,10.0.4.210,30518,463,UDP,SYN,290,7959,2976,97.4462,27.4448,PortScan
192.168.1.148,10.0.3.217,48925,53,TCP,PSH-ACK,22,27424,4574,4.8098,1246.5455,Benign
192.168.10.94,10.0.0.251,3505,25,ICMP,FIN,28,7916,4853,5.7696,282.7143,Benign
192.168.8.247,10.0.5.21,10335,53,ICMP,PSH-ACK,22,30970,4334,5.0761,1407.7273,Benign
192.168.2.134,10.0.4.23,17095,25,UDP,PSH-ACK,47,44325,739,63.5995,943.0851,Benign
192.168.9.205,10.0.4.80,41200,53,TCP,SYN-ACK,5,31227,3819,1.3092,6245.4,Benign
192.168.9.232,10.0.3.147,49115,8080,UDP,FIN,23,19453,1472,15.625,845.7826,Benign
192.168.1.178,10.0.4.192,20951,8080,ICMP,RST,8,41741,3976,2.0121,5217.625,Benign
192.168.10.44,10.0.4.14,44036,80,TCP,SYN,23796,4166463,2351,10121.6504,175.0909,DoS
192.168.3.130,10.0.0.218,52388,443,UDP,SYN-ACK,44,18913,2354,18.6916,429.8409,Benign
192.168.5.4,10.0.5.29,40596,25,TCP,RST,14,43698,3758,3.7254,3121.2857,Benign
192.168.6.207,10.0.1.67,52307,22,ICMP,ACK,16,35062,371,43.1267,2191.375,Benign
192.168.6.252,10.0.0.248,10531,22,ICMP,ACK,31,25611,2049,15.1293,826.1613,Benign
192.168.8.186,10.0.5.43,14842,443,TCP,PSH-ACK,16,10663,436,36.6972,666.4375,SQLInjection
